lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2,weibull.max,weibull.adjust
BM,secchi_max,2015-05-19,2015,139,143.01597149357184,0.9360541936676511,TRUE,FALSE
BM,secchi_max,2016-05-09,2016,130,222.804872231203,0.3978922078368703,TRUE,FALSE
BM,secchi_max,2017-05-16,2017,136,133.6216949487583,0.4378998993395946,TRUE,FALSE
BM,secchi_max,2018-07-23,2018,204,197.270237196827,0.35777353389241906,TRUE,FALSE
BM,secchi_max,2019-09-24,2019,267,150.49158157879822,0.4440214418463474,TRUE,FALSE
CB,secchi_max,1982-09-22,1982,265,187.0315701126091,0.4844910413966703,FALSE,TRUE
CB,secchi_max,1985-10-03,1985,276,266.9831000213954,0.811792701758417,TRUE,FALSE
CB,secchi_max,1986-07-31,1986,212,180.03305833129087,0.6380137551775551,TRUE,FALSE
CB,secchi_max,1987-07-27,1987,208,211.57333499084018,0.5540434973285067,TRUE,FALSE
CB,secchi_max,1988-09-14,1988,258,152.2298712484199,0.6384707419727382,FALSE,TRUE
CB,secchi_max,1989-08-09,1989,221,206.2339951566618,0.25340332576327895,TRUE,TRUE
CB,secchi_max,1992-08-26,1992,239,211.4892724649464,0.8706564300891403,TRUE,FALSE
CB,secchi_max,1993-09-09,1993,252,240.95738240983232,0.4819169343031122,TRUE,FALSE
CB,secchi_max,1994-06-06,1994,157,156.90728050189168,0.9187618992072523,TRUE,FALSE
CB,secchi_max,1995-09-05,1995,248,263.9936164689026,0.6114521743768551,TRUE,FALSE
CB,secchi_max,1996-09-18,1996,262,262.59374741969884,0.8427530010913196,TRUE,FALSE
CB,secchi_max,1998-08-10,1998,222,240.53905816426612,0.7591611418227633,FALSE,TRUE
CB,secchi_max,1999-05-19,1999,139,137.3127029144786,0.7112541192629791,TRUE,TRUE
CB,secchi_max,2000-10-18,2000,292,291.85710374818314,0.4859934915642652,TRUE,FALSE
CB,secchi_max,2001-07-11,2001,192,186.81976198359843,0.16979136864217803,TRUE,FALSE
CB,secchi_max,2002-07-29,2002,210,207.18542384144848,0.5935836278145994,TRUE,FALSE
CB,secchi_max,2003-05-27,2003,147,144.1142518770777,0.9575943121354378,TRUE,FALSE
CB,secchi_max,2004-08-18,2004,231,228.64874339370343,0.792242751815425,TRUE,FALSE
CB,secchi_max,2005-07-27,2005,208,190.56469366019618,0.6640746054909007,TRUE,FALSE
CB,secchi_max,2006-09-07,2006,250,243.57769817864042,0.6720956070194467,TRUE,TRUE
CB,secchi_max,2007-07-31,2007,212,175.82674284348818,0.827005134906644,FALSE,TRUE
CB,secchi_max,2008-10-07,2008,281,296.43681910725024,0.7328456788604902,FALSE,TRUE
CB,secchi_max,2009-09-02,2009,245,247.08045056784073,0.5415207153375332,FALSE,TRUE
CB,secchi_max,2010-06-08,2010,159,153.5032274077507,0.7459132901904165,TRUE,FALSE
CB,secchi_max,2011-08-24,2011,236,235.30045842149084,0.7303165858305147,TRUE,FALSE
CB,secchi_max,2012-05-30,2012,151,193.69732468545467,0.6015284817538737,TRUE,FALSE
CB,secchi_max,2015-06-16,2015,167,166.73352011277677,0.6632323451644707,TRUE,FALSE
CB,secchi_max,2016-06-08,2016,160,159.8890017742376,0.7419195334716152,TRUE,FALSE
CB,secchi_max,2017-05-18,2017,138,115.7889643911103,0.32958671890260105,TRUE,TRUE
CB,secchi_max,2018-09-05,2018,248,264.38542876268525,0.8593745800902299,FALSE,TRUE
CB,secchi_max,2019-09-25,2019,268,238.9351756992485,0.10493661124580422,TRUE,FALSE
CR,secchi_max,1982-07-19,1982,200,196.87026200829177,0.9339139418922165,TRUE,FALSE
CR,secchi_max,1983-07-20,1983,201,166.44718465132775,0.7744086066650048,TRUE,FALSE
CR,secchi_max,1984-07-04,1984,186,176.79754914871563,0.5087001402064686,TRUE,FALSE
CR,secchi_max,1985-05-29,1985,149,146.48326367435575,0.6943338452697707,TRUE,FALSE
CR,secchi_max,1986-06-05,1986,156,153.10548336678465,0.9207455353263836,TRUE,FALSE
CR,secchi_max,1987-06-22,1987,173,147.21123231388214,0.6861680845301563,TRUE,FALSE
CR,secchi_max,1988-04-26,1988,117,145.73526928594194,0.23485071521943612,FALSE,TRUE
CR,secchi_max,1989-06-29,1989,180,188.39259455902277,0.8333524303467355,TRUE,FALSE
CR,secchi_max,1990-05-31,1990,151,140.4706377447449,0.27320928207014694,TRUE,TRUE
CR,secchi_max,1991-08-01,1991,213,167.53122980623132,0.7588333205907974,TRUE,FALSE
CR,secchi_max,1992-07-06,1992,188,195.53569579141023,0.7366779446352479,TRUE,FALSE
CR,secchi_max,1993-09-07,1993,250,245.95369253832627,0.6416319263688193,TRUE,FALSE
CR,secchi_max,1994-09-07,1994,250,247.88187460686166,0.9247450008750401,TRUE,FALSE
CR,secchi_max,1995-10-05,1995,278,279.82911386757405,0.8695251893235236,FALSE,TRUE
CR,secchi_max,1996-07-24,1996,206,192.60288194703855,0.7258739311478755,TRUE,FALSE
CR,secchi_max,1997-07-15,1997,196,210.08318588349488,0.668917012984491,TRUE,FALSE
CR,secchi_max,1998-07-30,1998,211,229.38164852468472,0.9321240933846888,TRUE,FALSE
CR,secchi_max,1999-08-25,1999,237,270.7714009811795,0.5763761966184262,TRUE,TRUE
CR,secchi_max,2000-09-08,2000,252,286.8279900879551,0.4658020298526284,FALSE,TRUE
CR,secchi_max,2001-06-13,2001,164,154.9389836717707,0.7949079477356582,TRUE,FALSE
CR,secchi_max,2002-08-28,2002,240,277.8051220820846,0.38293671494773873,FALSE,TRUE
CR,secchi_max,2003-08-07,2003,219,214.36716980493267,0.4927937587666166,TRUE,FALSE
CR,secchi_max,2004-08-05,2004,218,246.50925156451828,0.7486323891122804,TRUE,FALSE
CR,secchi_max,2005-09-20,2005,263,218.76327814885377,0.7282248646752478,TRUE,FALSE
CR,secchi_max,2006-09-08,2006,251,266.50582339343043,0.8470756074957805,FALSE,TRUE
CR,secchi_max,2007-07-04,2007,185,178.7110035279587,0.8636915039850199,TRUE,FALSE
CR,secchi_max,2008-09-24,2008,268,218.0904921208938,0.8778987090874114,FALSE,TRUE
CR,secchi_max,2009-07-23,2009,204,213.14513107219,0.8805157348838711,TRUE,FALSE
CR,secchi_max,2010-07-21,2010,202,217.74509819813574,0.7541233521487589,TRUE,FALSE
CR,secchi_max,2011-10-06,2011,279,280.88944049404614,0.831800278708738,TRUE,TRUE
CR,secchi_max,2012-06-21,2012,173,199.192745707828,0.6822035898925896,TRUE,FALSE
CR,secchi_max,2013-05-14,2013,134,123.71053236246793,0.09968615869791775,TRUE,TRUE
CR,secchi_max,2014-07-03,2014,184,200.56536998141917,0.8864059116299432,TRUE,FALSE
CR,secchi_max,2015-10-06,2015,279,200.42085521881233,0.9193777870150944,TRUE,TRUE
CR,secchi_max,2016-08-17,2016,230,229.64264852443978,0.6763288612521459,TRUE,FALSE
CR,secchi_max,2017-08-08,2017,220,206.12597888489933,0.8901243597796165,TRUE,FALSE
CR,secchi_max,2018-05-15,2018,135,123.4759894196146,0.31020726274234156,TRUE,FALSE
CR,secchi_max,2019-06-19,2019,170,169.2259022445653,0.3762162893744375,FALSE,TRUE
FI,secchi_max,1996-05-27,1996,148,146.48228232673117,0.7488978298831994,TRUE,FALSE
FI,secchi_max,1997-06-10,1997,161,159.8603187958688,0.563740672117581,TRUE,FALSE
FI,secchi_max,1998-05-27,1998,147,145.66984482090945,0.8709150362823828,TRUE,FALSE
FI,secchi_max,1999-05-24,1999,144,144.30855185743073,0.48778628385791667,TRUE,FALSE
FI,secchi_max,2000-04-26,2000,117,128.6278234054124,0.7648868696488543,TRUE,FALSE
FI,secchi_max,2001-05-08,2001,128,124.97009116699944,0.7721983869785976,TRUE,FALSE
FI,secchi_max,2002-05-22,2002,142,147.4025834508174,0.7635275680876069,TRUE,FALSE
FI,secchi_max,2003-05-28,2003,148,147.06787852033,0.9219705950456238,TRUE,FALSE
FI,secchi_max,2004-04-27,2004,118,117.13130790634547,0.935859204761759,TRUE,FALSE
FI,secchi_max,2005-06-09,2005,160,158.9948874449625,0.9811683369818258,TRUE,FALSE
FI,secchi_max,2006-05-18,2006,138,140.0871950375964,0.972613381336113,TRUE,FALSE
FI,secchi_max,2007-05-18,2007,138,126.72659894187568,0.8123887835331004,TRUE,FALSE
FI,secchi_max,2008-04-18,2008,109,95.51263120468926,0.504716762987349,TRUE,FALSE
FI,secchi_max,2010-05-27,2010,147,150.24645201172964,0.9172262897034495,TRUE,FALSE
FI,secchi_max,2011-05-19,2011,139,137.40925798677665,0.8886487185585253,TRUE,FALSE
FI,secchi_max,2012-09-06,2012,250,47.18462948609392,0.8700716503350808,FALSE,TRUE
FI,secchi_max,2013-05-08,2013,128,115.2633767922437,0.9391742951031468,TRUE,FALSE
FI,secchi_max,2014-05-29,2014,149,175.7259939339399,0.5649252394430291,TRUE,FALSE
FI,secchi_max,2015-05-12,2015,132,130.21127830722986,0.8940536223974571,TRUE,FALSE
FI,secchi_max,2016-05-12,2016,133,132.29248326289607,0.9591236976293003,TRUE,FALSE
FI,secchi_max,2017-05-05,2017,125,124.15235569108353,0.8587183260727647,TRUE,FALSE
FI,secchi_max,2018-08-20,2018,232,229.78768131496577,0.5574423373921891,TRUE,FALSE
FI,secchi_max,2019-05-03,2019,123,127.57558182025421,0.8860550172312963,TRUE,FALSE
ME,secchi_max,1995-06-06,1995,157,155.34091747140636,0.9589681178603829,TRUE,FALSE
ME,secchi_max,1996-05-04,1996,125,126.17346616079415,0.7641463474548549,TRUE,FALSE
ME,secchi_max,1997-05-13,1997,133,153.53102867114546,0.6886553313419302,TRUE,FALSE
ME,secchi_max,1998-05-11,1998,131,128.58117163819236,0.796181110200642,TRUE,FALSE
ME,secchi_max,1999-04-26,1999,116,111.78406535665556,0.8181580356044139,TRUE,FALSE
ME,secchi_max,2000-04-25,2000,116,115.08355637274767,0.7244466451338396,TRUE,FALSE
ME,secchi_max,2001-05-07,2001,127,124.899653333255,0.8551722555008265,TRUE,FALSE
ME,secchi_max,2002-05-20,2002,140,145.3898217738172,0.8751797580846542,TRUE,FALSE
ME,secchi_max,2003-05-13,2003,133,124.42117584583774,0.6129137966062714,TRUE,FALSE
ME,secchi_max,2004-05-10,2004,131,125.86307400786595,0.734417815374135,TRUE,FALSE
ME,secchi_max,2005-05-09,2005,129,128.12149030654462,0.8480972505384208,TRUE,FALSE
ME,secchi_max,2006-04-04,2006,94,75.29518622783498,0.9159000564696355,TRUE,FALSE
ME,secchi_max,2007-05-14,2007,134,134.31636691416247,0.9445463623050585,TRUE,FALSE
ME,secchi_max,2008-05-28,2008,149,148.21060130502954,0.9497100533098727,TRUE,FALSE
ME,secchi_max,2009-06-09,2009,160,164.3716060735985,0.9468492985346788,TRUE,FALSE
ME,secchi_max,2010-05-24,2010,144,143.55531800870725,0.9628081137581866,TRUE,FALSE
ME,secchi_max,2011-06-13,2011,164,158.86740518898114,0.8845821872246126,TRUE,FALSE
