lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2
AL,doc_surfMax,1996-09-03,1996,247,NA,NA
AL,drsif_surfMax,1996-10-02,1996,276,NA,NA
AL,no3no2_surfMax,1996-05-14,1996,135,NA,NA
AL,ph_surfMax,1996-06-12,1996,164,NA,NA
AL,totnf_surfMax,1996-10-02,1996,276,NA,NA
AL,totnuf_surfMax,1996-05-14,1996,135,NA,NA
AL,totpuf_surfMax,1996-10-02,1996,276,NA,NA
AL,doc_surfMax,1997-08-27,1997,239,235,0.8395527314331578
AL,drsif_surfMax,1997-11-07,1997,311,293,0.9184759200058766
AL,no3no2_surfMax,1997-11-07,1997,311,-999,-999
AL,ph_surfMax,1997-10-20,1997,293,211,0.05522446452193752
AL,totnf_surfMax,1997-09-25,1997,268,266,0.8573902564389827
AL,totnuf_surfMax,1997-05-13,1997,133,133,0.1763960105504404
AL,totpuf_surfMax,1997-09-25,1997,268,-999,-999
AL,doc_surfMax,1998-06-17,1998,168,166,0.856553512943685
AL,drsif_surfMax,1998-10-05,1998,278,281,0.9688814334594987
AL,no3no2_surfMax,1998-07-13,1998,194,192,0.48606727893387824
AL,ph_surfMax,1998-08-11,1998,223,206,0.7895740235885792
AL,totnf_surfMax,1998-10-05,1998,278,196,0.7834999223834032
AL,totnuf_surfMax,1998-10-05,1998,278,298,0.6196967478435887
AL,totpuf_surfMax,1998-04-22,1998,112,308,0.21499616411876954
AL,doc_surfMax,1999-08-26,1999,238,218,0.9532166779536179
AL,drsif_surfMax,1999-09-22,1999,265,-999,-999
AL,no3no2_surfMax,1999-06-04,1999,155,157,0.8411281740746102
AL,ph_surfMax,1999-06-28,1999,179,186,0.74299852532494
AL,totnf_surfMax,1999-10-19,1999,292,309,0.322004635717578
AL,totnuf_surfMax,1999-10-19,1999,292,309,0.7094941090555711
AL,totpuf_surfMax,1999-09-22,1999,265,262,0.8037145372231715
AL,doc_surfMax,2000-08-23,2000,236,251,0.8838456676429991
AL,drsif_surfMax,2000-08-23,2000,236,251,0.9448374075178804
AL,no3no2_surfMax,2000-04-03,2000,94,94,0.8692677204126081
AL,ph_surfMax,2000-08-23,2000,236,182,0.5876592346914749
AL,totnf_surfMax,2000-04-03,2000,94,-999,-999
AL,totnuf_surfMax,2000-10-16,2000,290,267,0.8191168379078381
AL,totpuf_surfMax,2000-09-19,2000,263,266,0.9369005190526394
AL,doc_surfMax,2001-07-23,2001,204,212,0.5024094047735524
AL,drsif_surfMax,2001-08-23,2001,235,247,0.9774814247170471
AL,no3no2_surfMax,2001-05-01,2001,121,121,0.9421138862901188
AL,ph_surfMax,2001-08-23,2001,235,219,0.8843615729515861
AL,totnf_surfMax,2001-10-15,2001,288,273,0.40260214107043946
AL,totnuf_surfMax,2001-10-15,2001,288,-999,-999
AL,totpuf_surfMax,2001-11-14,2001,318,318,0.5690510516472038
AL,doc_surfMax,2002-08-14,2002,226,232,0.867432005328538
AL,drsif_surfMax,2002-10-09,2002,282,281,0.908029410116244
AL,no3no2_surfMax,2002-04-23,2002,113,113,0.9700564636620767
AL,ph_surfMax,2002-07-16,2002,197,204,0.9464819746047951
AL,totnf_surfMax,2002-08-14,2002,226,-999,-999
AL,totnuf_surfMax,2002-08-14,2002,226,-999,-999
AL,totpuf_surfMax,2002-04-23,2002,113,113,0.7729056527028055
