lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2,weibull.max,weibull.adjust
CB,iceoff,2002-04-19,2002,109,109,1,TRUE,NA
CB,iceoff,2003-04-16,2003,106,106,1,TRUE,NA
CB,iceoff,2004-04-19,2004,110,110,1,TRUE,NA
CB,iceoff,2005-04-12,2005,102,102,1,TRUE,NA
CB,iceoff,2006-04-12,2006,102,102,1,TRUE,NA
CB,iceoff,2007-04-12,2007,102,102,1,TRUE,NA
CB,iceoff,2008-04-25,2008,116,116,1,TRUE,NA
CB,iceoff,2009-04-20,2009,110,110,1,TRUE,NA
CB,iceoff,2010-03-29,2010,88,88,1,TRUE,NA
CB,iceoff,2011-04-25,2011,115,115,1,TRUE,NA
CB,iceoff,2012-03-20,2012,80,80,1,TRUE,NA
CB,iceoff,2013-05-07,2013,127,127,1,TRUE,NA
CB,iceoff,2014-05-06,2014,126,126,1,TRUE,NA
CB,iceoff,2015-04-13,2015,103,103,1,TRUE,NA
CB,iceoff,2016-04-15,2016,106,106,1,TRUE,NA
CB,iceoff,2017-04-09,2017,99,99,1,TRUE,NA
CB,iceoff,2018-05-04,2018,124,124,1,TRUE,NA
CB,iceoff,2019-04-25,2019,115,115,1,TRUE,NA
CB,iceoff,2020-04-24,2020,115,115,1,TRUE,NA
CR,iceoff,1982-05-03,1982,123,123,1,TRUE,NA
CR,iceoff,1983-04-29,1983,119,119,1,TRUE,NA
CR,iceoff,1984-04-20,1984,111,111,1,TRUE,NA
CR,iceoff,1985-04-23,1985,113,113,1,TRUE,NA
CR,iceoff,1986-04-13,1986,103,103,1,TRUE,NA
CR,iceoff,1987-04-09,1987,99,99,1,TRUE,NA
CR,iceoff,1988-04-15,1988,106,106,1,TRUE,NA
CR,iceoff,1989-04-27,1989,117,117,1,TRUE,NA
CR,iceoff,1990-04-16,1990,106,106,1,TRUE,NA
CR,iceoff,1991-04-18,1991,108,108,1,TRUE,NA
CR,iceoff,1992-04-30,1992,121,121,1,TRUE,NA
CR,iceoff,1993-05-02,1993,122,122,1,TRUE,NA
CR,iceoff,1994-04-21,1994,111,111,1,TRUE,NA
CR,iceoff,1995-04-17,1995,107,107,1,TRUE,NA
CR,iceoff,1996-05-11,1996,132,132,1,TRUE,NA
CR,iceoff,1997-04-28,1997,118,118,1,TRUE,NA
CR,iceoff,1998-04-08,1998,98,98,1,TRUE,NA
CR,iceoff,1999-04-15,1999,105,105,1,TRUE,NA
CR,iceoff,2000-03-31,2000,91,91,1,TRUE,NA
CR,iceoff,2001-04-23,2001,113,113,1,TRUE,NA
CR,iceoff,2002-04-19,2002,109,109,1,TRUE,NA
CR,iceoff,2003-04-24,2003,114,114,1,TRUE,NA
CR,iceoff,2004-04-19,2004,110,110,1,TRUE,NA
CR,iceoff,2005-04-15,2005,105,105,1,TRUE,NA
CR,iceoff,2006-04-13,2006,103,103,1,TRUE,NA
CR,iceoff,2007-04-12,2007,102,102,1,TRUE,NA
CR,iceoff,2008-04-30,2008,121,121,1,TRUE,NA
CR,iceoff,2009-04-20,2009,110,110,1,TRUE,NA
CR,iceoff,2010-03-29,2010,88,88,1,TRUE,NA
CR,iceoff,2011-04-28,2011,118,118,1,TRUE,NA
CR,iceoff,2012-03-20,2012,80,80,1,TRUE,NA
CR,iceoff,2013-05-08,2013,128,128,1,TRUE,NA
CR,iceoff,2014-05-07,2014,127,127,1,TRUE,NA
CR,iceoff,2015-04-14,2015,104,104,1,TRUE,NA
CR,iceoff,2016-04-18,2016,109,109,1,TRUE,NA
CR,iceoff,2017-04-09,2017,99,99,1,TRUE,NA
CR,iceoff,2018-05-07,2018,127,127,1,TRUE,NA
CR,iceoff,2019-04-26,2019,116,116,1,TRUE,NA
CR,iceoff,2020-04-28,2020,119,119,1,TRUE,NA
SP,iceoff,1982-05-04,1982,124,124,1,TRUE,NA
SP,iceoff,1983-04-30,1983,120,120,1,TRUE,NA
SP,iceoff,1984-04-21,1984,112,112,1,TRUE,NA
SP,iceoff,1985-04-22,1985,112,112,1,TRUE,NA
SP,iceoff,1986-04-12,1986,102,102,1,TRUE,NA
SP,iceoff,1987-04-12,1987,102,102,1,TRUE,NA
SP,iceoff,1988-04-14,1988,105,105,1,TRUE,NA
SP,iceoff,1989-04-26,1989,116,116,1,TRUE,NA
SP,iceoff,1990-04-17,1990,107,107,1,TRUE,NA
SP,iceoff,1991-04-22,1991,112,112,1,TRUE,NA
SP,iceoff,1992-05-01,1992,122,122,1,TRUE,NA
SP,iceoff,1993-05-02,1993,122,122,1,TRUE,NA
SP,iceoff,1994-04-22,1994,112,112,1,TRUE,NA
SP,iceoff,1995-04-25,1995,115,115,1,TRUE,NA
SP,iceoff,1996-05-12,1996,133,133,1,TRUE,NA
SP,iceoff,1997-04-29,1997,119,119,1,TRUE,NA
SP,iceoff,1998-04-09,1998,99,99,1,TRUE,NA
SP,iceoff,1999-04-16,1999,106,106,1,TRUE,NA
SP,iceoff,2000-04-03,2000,94,94,1,TRUE,NA
SP,iceoff,2001-04-23,2001,113,113,1,TRUE,NA
SP,iceoff,2002-04-19,2002,109,109,1,TRUE,NA
SP,iceoff,2003-04-25,2003,115,115,1,TRUE,NA
SP,iceoff,2004-04-19,2004,110,110,1,TRUE,NA
SP,iceoff,2005-04-15,2005,105,105,1,TRUE,NA
SP,iceoff,2006-04-14,2006,104,104,1,TRUE,NA
SP,iceoff,2007-04-16,2007,106,106,1,TRUE,NA
SP,iceoff,2008-05-02,2008,123,123,1,TRUE,NA
SP,iceoff,2009-04-23,2009,113,113,1,TRUE,NA
SP,iceoff,2010-03-31,2010,90,90,1,TRUE,NA
SP,iceoff,2011-04-26,2011,116,116,1,TRUE,NA
SP,iceoff,2012-03-20,2012,80,80,1,TRUE,NA
SP,iceoff,2013-05-10,2013,130,130,1,TRUE,NA
SP,iceoff,2014-05-09,2014,129,129,1,TRUE,NA
SP,iceoff,2015-04-15,2015,105,105,1,TRUE,NA
SP,iceoff,2016-04-18,2016,109,109,1,TRUE,NA
SP,iceoff,2017-04-09,2017,99,99,1,TRUE,NA
SP,iceoff,2018-05-05,2018,125,125,1,TRUE,NA
SP,iceoff,2019-05-01,2019,121,121,1,TRUE,NA
SP,iceoff,2020-04-28,2020,119,119,1,TRUE,NA
TB,iceoff,1982-05-03,1982,123,123,1,TRUE,NA
TB,iceoff,1983-04-28,1983,118,118,1,TRUE,NA
TB,iceoff,1984-04-19,1984,110,110,1,TRUE,NA
TB,iceoff,1985-04-23,1985,113,113,1,TRUE,NA
TB,iceoff,1986-04-14,1986,104,104,1,TRUE,NA
TB,iceoff,1987-04-12,1987,102,102,1,TRUE,NA
TB,iceoff,1988-04-15,1988,106,106,1,TRUE,NA
TB,iceoff,1989-04-26,1989,116,116,1,TRUE,NA
TB,iceoff,1990-04-23,1990,113,113,1,TRUE,NA
TB,iceoff,1991-04-19,1991,109,109,1,TRUE,NA
TB,iceoff,1992-04-29,1992,120,120,1,TRUE,NA
TB,iceoff,1993-04-28,1993,118,118,1,TRUE,NA
TB,iceoff,1994-04-20,1994,110,110,1,TRUE,NA
TB,iceoff,1995-04-27,1995,117,117,1,TRUE,NA
TB,iceoff,1996-05-09,1996,130,130,1,TRUE,NA
TB,iceoff,1997-04-29,1997,119,119,1,TRUE,NA
TB,iceoff,1998-04-11,1998,101,101,1,TRUE,NA
TB,iceoff,1999-04-15,1999,105,105,1,TRUE,NA
TB,iceoff,2000-04-04,2000,95,95,1,TRUE,NA
TB,iceoff,2001-04-23,2001,113,113,1,TRUE,NA
TB,iceoff,2002-04-24,2002,114,114,1,TRUE,NA
TB,iceoff,2003-04-23,2003,113,113,1,TRUE,NA
TB,iceoff,2004-04-21,2004,112,112,1,TRUE,NA
TB,iceoff,2005-04-15,2005,105,105,1,TRUE,NA
TB,iceoff,2006-04-13,2006,103,103,1,TRUE,NA
TB,iceoff,2007-04-18,2007,108,108,1,TRUE,NA
TB,iceoff,2008-04-30,2008,121,121,1,TRUE,NA
TB,iceoff,2009-04-22,2009,112,112,1,TRUE,NA
TB,iceoff,2010-03-31,2010,90,90,1,TRUE,NA
TB,iceoff,2011-05-01,2011,121,121,1,TRUE,NA
TB,iceoff,2012-03-26,2012,86,86,1,TRUE,NA
TB,iceoff,2013-05-09,2013,129,129,1,TRUE,NA
TB,iceoff,2014-05-09,2014,129,129,1,TRUE,NA
TB,iceoff,2015-04-13,2015,103,103,1,TRUE,NA
TB,iceoff,2016-04-18,2016,109,109,1,TRUE,NA
TB,iceoff,2017-04-15,2017,105,105,1,TRUE,NA
TB,iceoff,2018-05-06,2018,126,126,1,TRUE,NA
TB,iceoff,2019-04-25,2019,115,115,1,TRUE,NA
TB,iceoff,2020-04-26,2020,117,117,1,TRUE,NA
TR,iceoff,1982-05-04,1982,124,124,1,TRUE,NA
TR,iceoff,1983-05-02,1983,122,122,1,TRUE,NA
TR,iceoff,1984-04-26,1984,117,117,1,TRUE,NA
TR,iceoff,1985-04-24,1985,114,114,1,TRUE,NA
TR,iceoff,1986-04-15,1986,105,105,1,TRUE,NA
TR,iceoff,1987-04-16,1987,106,106,1,TRUE,NA
TR,iceoff,1988-04-27,1988,118,118,1,TRUE,NA
TR,iceoff,1989-05-03,1989,123,123,1,TRUE,NA
TR,iceoff,1990-04-23,1990,113,113,1,TRUE,NA
TR,iceoff,1991-04-26,1991,116,116,1,TRUE,NA
TR,iceoff,1992-04-30,1992,121,121,1,TRUE,NA
TR,iceoff,1993-05-07,1993,127,127,1,TRUE,NA
TR,iceoff,1994-04-25,1994,115,115,1,TRUE,NA
TR,iceoff,1995-05-02,1995,122,122,1,TRUE,NA
TR,iceoff,1996-05-17,1996,138,138,1,TRUE,NA
TR,iceoff,1997-05-01,1997,121,121,1,TRUE,NA
TR,iceoff,1998-04-11,1998,101,101,1,TRUE,NA
TR,iceoff,1999-04-23,1999,113,113,1,TRUE,NA
TR,iceoff,2000-04-07,2000,98,98,1,TRUE,NA
TR,iceoff,2001-04-23,2001,113,113,1,TRUE,NA
TR,iceoff,2002-04-24,2002,114,114,1,TRUE,NA
TR,iceoff,2003-04-28,2003,118,118,1,TRUE,NA
TR,iceoff,2004-04-21,2004,112,112,1,TRUE,NA
TR,iceoff,2005-04-16,2005,106,106,1,TRUE,NA
TR,iceoff,2006-04-16,2006,106,106,1,TRUE,NA
TR,iceoff,2007-04-22,2007,112,112,1,TRUE,NA
TR,iceoff,2008-05-05,2008,126,126,1,TRUE,NA
TR,iceoff,2009-04-27,2009,117,117,1,TRUE,NA
TR,iceoff,2010-04-02,2010,92,92,1,TRUE,NA
TR,iceoff,2011-04-30,2011,120,120,1,TRUE,NA
TR,iceoff,2012-03-20,2012,80,80,1,TRUE,NA
TR,iceoff,2013-05-14,2013,134,134,1,TRUE,NA
TR,iceoff,2014-05-10,2014,130,130,1,TRUE,NA
TR,iceoff,2015-04-19,2015,109,109,1,TRUE,NA
TR,iceoff,2016-04-19,2016,110,110,1,TRUE,NA
TR,iceoff,2017-04-15,2017,105,105,1,TRUE,NA
TR,iceoff,2018-05-09,2018,129,129,1,TRUE,NA
TR,iceoff,2019-05-07,2019,127,127,1,TRUE,NA
TR,iceoff,2020-04-30,2020,121,121,1,TRUE,NA
ME,iceoff,1996-04-07,1996,98,98,1,TRUE,NA
ME,iceoff,1997-04-01,1997,91,91,1,TRUE,NA
ME,iceoff,1998-02-27,1998,58,58,1,TRUE,NA
ME,iceoff,1999-03-21,1999,80,80,1,TRUE,NA
ME,iceoff,2000-03-07,2000,67,67,1,TRUE,NA
ME,iceoff,2001-04-07,2001,97,97,1,TRUE,NA
ME,iceoff,2002-03-15,2002,74,74,1,TRUE,NA
ME,iceoff,2003-04-03,2003,93,93,1,TRUE,NA
ME,iceoff,2004-03-27,2004,87,87,1,TRUE,NA
ME,iceoff,2005-04-05,2005,95,95,1,TRUE,NA
ME,iceoff,2006-03-24,2006,83,83,1,TRUE,NA
ME,iceoff,2007-03-27,2007,86,86,1,TRUE,NA
ME,iceoff,2008-04-10,2008,101,101,1,TRUE,NA
ME,iceoff,2009-03-23,2009,82,82,1,TRUE,NA
ME,iceoff,2010-03-26,2010,85,85,1,TRUE,NA
ME,iceoff,2011-04-03,2011,93,93,1,TRUE,NA
ME,iceoff,2012-03-11,2012,71,71,1,TRUE,NA
ME,iceoff,2013-04-11,2013,101,101,1,TRUE,NA
ME,iceoff,2014-04-12,2014,102,102,1,TRUE,NA
ME,iceoff,2015-04-03,2015,93,93,1,TRUE,NA
ME,iceoff,2016-03-13,2016,73,73,1,TRUE,NA
ME,iceoff,2017-03-07,2017,66,66,1,TRUE,NA
ME,iceoff,2018-03-31,2018,90,90,1,TRUE,NA
ME,iceoff,2019-03-31,2019,90,90,1,TRUE,NA
ME,iceoff,2020-03-22,2020,82,82,1,TRUE,NA
MO,iceoff,1996-03-24,1996,84,84,1,TRUE,NA
MO,iceoff,1997-03-26,1997,85,85,1,TRUE,NA
MO,iceoff,1998-02-27,1998,58,58,1,TRUE,NA
MO,iceoff,1999-03-10,1999,69,69,1,TRUE,NA
MO,iceoff,2000-03-06,2000,66,66,1,TRUE,NA
MO,iceoff,2001-03-31,2001,90,90,1,TRUE,NA
MO,iceoff,2002-02-26,2002,57,57,1,TRUE,NA
MO,iceoff,2003-03-22,2003,81,81,1,TRUE,NA
MO,iceoff,2004-03-20,2004,80,80,1,TRUE,NA
MO,iceoff,2005-03-31,2005,90,90,1,TRUE,NA
MO,iceoff,2006-03-12,2006,71,71,1,TRUE,NA
MO,iceoff,2007-03-26,2007,85,85,1,TRUE,NA
MO,iceoff,2008-04-07,2008,98,98,1,TRUE,NA
MO,iceoff,2009-03-24,2009,83,83,1,TRUE,NA
MO,iceoff,2010-03-25,2010,84,84,1,TRUE,NA
MO,iceoff,2011-04-03,2011,93,93,1,TRUE,NA
MO,iceoff,2012-03-12,2012,72,72,1,TRUE,NA
MO,iceoff,2013-04-11,2013,101,101,1,TRUE,NA
MO,iceoff,2014-04-10,2014,100,100,1,TRUE,NA
MO,iceoff,2015-04-02,2015,92,92,1,TRUE,NA
MO,iceoff,2016-03-13,2016,73,73,1,TRUE,NA
MO,iceoff,2017-03-07,2017,66,66,1,TRUE,NA
MO,iceoff,2018-03-29,2018,88,88,1,TRUE,NA
MO,iceoff,2019-03-31,2019,90,90,1,TRUE,NA
MO,iceoff,2020-03-20,2020,80,80,1,TRUE,NA
WI,iceoff,1996-03-25,1996,85,85,1,TRUE,NA
WI,iceoff,1997-03-26,1997,85,85,1,TRUE,NA
WI,iceoff,1998-02-26,1998,57,57,1,TRUE,NA
WI,iceoff,1999-03-11,1999,70,70,1,TRUE,NA
WI,iceoff,2000-03-04,2000,64,64,1,TRUE,NA
WI,iceoff,2001-04-05,2001,95,95,1,TRUE,NA
WI,iceoff,2002-03-14,2002,73,73,1,TRUE,NA
WI,iceoff,2003-03-24,2003,83,83,1,TRUE,NA
WI,iceoff,2004-03-16,2004,76,76,1,TRUE,NA
WI,iceoff,2005-04-03,2005,93,93,1,TRUE,NA
WI,iceoff,2006-03-14,2006,73,73,1,TRUE,NA
WI,iceoff,2007-03-25,2007,84,84,1,TRUE,NA
WI,iceoff,2008-04-06,2008,97,97,1,TRUE,NA
WI,iceoff,2009-03-18,2009,77,77,1,TRUE,NA
WI,iceoff,2010-03-26,2010,85,85,1,TRUE,NA
WI,iceoff,2011-04-01,2011,91,91,1,TRUE,NA
WI,iceoff,2012-03-08,2012,68,68,1,TRUE,NA
WI,iceoff,2013-04-09,2013,99,99,1,TRUE,NA
WI,iceoff,2014-04-09,2014,99,99,1,TRUE,NA
WI,iceoff,2015-03-21,2015,80,80,1,TRUE,NA
WI,iceoff,2016-03-08,2016,68,68,1,TRUE,NA
WI,iceoff,2017-02-27,2017,58,58,1,TRUE,NA
WI,iceoff,2018-03-24,2018,83,83,1,TRUE,NA
WI,iceoff,2019-03-28,2019,87,87,1,TRUE,NA
WI,iceoff,2020-03-12,2020,72,72,1,TRUE,NA
FI,iceoff,1996-03-24,1996,84,84,1,TRUE,NA
FI,iceoff,1997-03-26,1997,85,85,1,TRUE,NA
FI,iceoff,1998-02-27,1998,58,58,1,TRUE,NA
FI,iceoff,1999-03-10,1999,69,69,1,TRUE,NA
FI,iceoff,2000-03-06,2000,66,66,1,TRUE,NA
FI,iceoff,2001-03-31,2001,90,90,1,TRUE,NA
FI,iceoff,2002-02-26,2002,57,57,1,TRUE,NA
FI,iceoff,2003-03-22,2003,81,81,1,TRUE,NA
FI,iceoff,2004-03-20,2004,80,80,1,TRUE,NA
FI,iceoff,2005-03-31,2005,90,90,1,TRUE,NA
FI,iceoff,2006-03-12,2006,71,71,1,TRUE,NA
FI,iceoff,2007-03-26,2007,85,85,1,TRUE,NA
FI,iceoff,2008-04-07,2008,98,98,1,TRUE,NA
FI,iceoff,2009-03-24,2009,83,83,1,TRUE,NA
FI,iceoff,2010-03-25,2010,84,84,1,TRUE,NA
FI,iceoff,2011-04-03,2011,93,93,1,TRUE,NA
FI,iceoff,2012-03-12,2012,72,72,1,TRUE,NA
FI,iceoff,2013-04-11,2013,101,101,1,TRUE,NA
FI,iceoff,2014-04-10,2014,100,100,1,TRUE,NA
FI,iceoff,2015-04-02,2015,92,92,1,TRUE,NA
FI,iceoff,2016-03-13,2016,73,73,1,TRUE,NA
FI,iceoff,2017-03-07,2017,66,66,1,TRUE,NA
FI,iceoff,2018-03-29,2018,88,88,1,TRUE,NA
FI,iceoff,2019-03-31,2019,90,90,1,TRUE,NA
FI,iceoff,2020-03-20,2020,80,80,1,TRUE,NA
AL,iceon,1982-11-22,1982,326,326,1,TRUE,NA
AL,iceon,1983-11-28,1983,332,332,1,TRUE,NA
AL,iceon,1984-11-09,1984,314,314,1,TRUE,NA
AL,iceon,1985-11-25,1985,329,329,1,TRUE,NA
AL,iceon,1986-11-14,1986,318,318,1,TRUE,NA
AL,iceon,1987-11-23,1987,327,327,1,TRUE,NA
AL,iceon,1988-11-30,1988,335,335,1,TRUE,NA
AL,iceon,1989-11-22,1989,326,326,1,TRUE,NA
AL,iceon,1990-12-03,1990,337,337,1,TRUE,NA
AL,iceon,1991-11-08,1991,312,312,1,TRUE,NA
AL,iceon,1992-11-16,1992,321,321,1,TRUE,NA
AL,iceon,1993-11-29,1993,333,333,1,TRUE,NA
AL,iceon,1994-11-26,1994,330,330,1,TRUE,NA
AL,iceon,1995-11-09,1995,313,313,1,TRUE,NA
AL,iceon,1996-11-14,1996,319,319,1,TRUE,NA
AL,iceon,1997-11-17,1997,321,321,1,TRUE,NA
AL,iceon,1998-12-11,1998,345,345,1,TRUE,NA
AL,iceon,1999-12-01,1999,335,335,1,TRUE,NA
AL,iceon,2000-11-20,2000,325,325,1,TRUE,NA
AL,iceon,2001-12-11,2001,345,345,1,TRUE,NA
AL,iceon,2002-11-18,2002,322,322,1,TRUE,NA
AL,iceon,2003-11-28,2003,332,332,1,TRUE,NA
AL,iceon,2004-12-13,2004,348,348,1,TRUE,NA
AL,iceon,2005-11-25,2005,329,329,1,TRUE,NA
AL,iceon,2006-12-01,2006,335,335,1,TRUE,NA
AL,iceon,2007-11-23,2007,327,327,1,TRUE,NA
AL,iceon,2008-11-25,2008,330,330,1,TRUE,NA
AL,iceon,2009-12-07,2009,341,341,1,TRUE,NA
AL,iceon,2010-11-27,2010,331,331,1,TRUE,NA
AL,iceon,2011-11-30,2011,334,334,1,TRUE,NA
AL,iceon,2012-12-07,2012,342,342,1,TRUE,NA
AL,iceon,2013-11-19,2013,323,323,1,TRUE,NA
AL,iceon,2014-11-21,2014,325,325,1,TRUE,NA
AL,iceon,2015-11-30,2015,334,334,1,TRUE,NA
AL,iceon,2016-12-12,2016,347,347,1,TRUE,NA
AL,iceon,2017-11-20,2017,324,324,1,TRUE,NA
AL,iceon,2018-11-16,2018,320,320,1,TRUE,NA
AL,iceon,2019-11-22,2019,326,326,1,TRUE,NA
AL,iceon,2020-11-27,2020,332,332,1,TRUE,NA
BM,iceon,1982-12-07,1982,341,341,1,TRUE,NA
BM,iceon,1983-12-03,1983,337,337,1,TRUE,NA
BM,iceon,1984-11-21,1984,326,326,1,TRUE,NA
BM,iceon,1985-11-25,1985,329,329,1,TRUE,NA
BM,iceon,1986-11-18,1986,322,322,1,TRUE,NA
BM,iceon,1987-12-03,1987,337,337,1,TRUE,NA
BM,iceon,1988-12-01,1988,336,336,1,TRUE,NA
BM,iceon,1989-11-22,1989,326,326,1,TRUE,NA
BM,iceon,1990-12-05,1990,339,339,1,TRUE,NA
BM,iceon,1991-11-27,1991,331,331,1,TRUE,NA
BM,iceon,1992-11-30,1992,335,335,1,TRUE,NA
BM,iceon,1993-12-01,1993,335,335,1,TRUE,NA
BM,iceon,1994-12-09,1994,343,343,1,TRUE,NA
BM,iceon,1995-11-13,1995,317,317,1,TRUE,NA
BM,iceon,1996-11-25,1996,330,330,1,TRUE,NA
BM,iceon,1997-11-24,1997,328,328,1,TRUE,NA
BM,iceon,1998-12-23,1998,357,357,1,TRUE,NA
BM,iceon,1999-12-17,1999,351,351,1,TRUE,NA
BM,iceon,2000-12-04,2000,339,339,1,TRUE,NA
BM,iceon,2001-12-26,2001,360,360,1,TRUE,NA
BM,iceon,2002-11-27,2002,331,331,1,TRUE,NA
BM,iceon,2003-12-03,2003,337,337,1,TRUE,NA
