lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2,weibull.max,weibull.adjust
AL,iceoff,1982-05-01,1982,121,121,1,TRUE,NA
AL,iceoff,1983-04-27,1983,117,117,1,TRUE,NA
AL,iceoff,1984-04-21,1984,112,112,1,TRUE,NA
AL,iceoff,1985-04-21,1985,111,111,1,TRUE,NA
AL,iceoff,1986-04-12,1986,102,102,1,TRUE,NA
AL,iceoff,1987-04-10,1987,100,100,1,TRUE,NA
AL,iceoff,1988-04-12,1988,103,103,1,TRUE,NA
AL,iceoff,1989-04-26,1989,116,116,1,TRUE,NA
AL,iceoff,1990-04-17,1990,107,107,1,TRUE,NA
AL,iceoff,1991-04-18,1991,108,108,1,TRUE,NA
AL,iceoff,1992-04-28,1992,119,119,1,TRUE,NA
AL,iceoff,1993-05-02,1993,122,122,1,TRUE,NA
AL,iceoff,1994-04-20,1994,110,110,1,TRUE,NA
AL,iceoff,1995-04-25,1995,115,115,1,TRUE,NA
AL,iceoff,1996-05-09,1996,130,130,1,TRUE,NA
AL,iceoff,1997-04-28,1997,118,118,1,TRUE,NA
AL,iceoff,1998-04-09,1998,99,99,1,TRUE,NA
AL,iceoff,1999-04-14,1999,104,104,1,TRUE,NA
AL,iceoff,2000-03-26,2000,86,86,1,TRUE,NA
AL,iceoff,2001-04-23,2001,113,113,1,TRUE,NA
AL,iceoff,2002-04-19,2002,109,109,1,TRUE,NA
AL,iceoff,2003-04-23,2003,113,113,1,TRUE,NA
AL,iceoff,2004-04-19,2004,110,110,1,TRUE,NA
AL,iceoff,2005-04-12,2005,102,102,1,TRUE,NA
AL,iceoff,2006-04-14,2006,104,104,1,TRUE,NA
AL,iceoff,2007-04-12,2007,102,102,1,TRUE,NA
AL,iceoff,2008-04-28,2008,119,119,1,TRUE,NA
AL,iceoff,2009-04-20,2009,110,110,1,TRUE,NA
AL,iceoff,2010-03-31,2010,90,90,1,TRUE,NA
AL,iceoff,2011-04-26,2011,116,116,1,TRUE,NA
AL,iceoff,2012-03-20,2012,80,80,1,TRUE,NA
AL,iceoff,2013-05-09,2013,129,129,1,TRUE,NA
AL,iceoff,2014-05-07,2014,127,127,1,TRUE,NA
AL,iceoff,2015-04-14,2015,104,104,1,TRUE,NA
AL,iceoff,2016-04-18,2016,109,109,1,TRUE,NA
AL,iceoff,2017-04-09,2017,99,99,1,TRUE,NA
AL,iceoff,2018-05-07,2018,127,127,1,TRUE,NA
AL,iceoff,2019-04-25,2019,115,115,1,TRUE,NA
AL,iceoff,2020-04-26,2020,117,117,1,TRUE,NA
BM,iceoff,1982-05-04,1982,124,124,1,TRUE,NA
BM,iceoff,1983-05-02,1983,122,122,1,TRUE,NA
BM,iceoff,1984-04-23,1984,114,114,1,TRUE,NA
BM,iceoff,1985-04-23,1985,113,113,1,TRUE,NA
BM,iceoff,1986-04-13,1986,103,103,1,TRUE,NA
BM,iceoff,1987-04-11,1987,101,101,1,TRUE,NA
BM,iceoff,1988-04-16,1988,107,107,1,TRUE,NA
BM,iceoff,1989-04-28,1989,118,118,1,TRUE,NA
BM,iceoff,1990-04-19,1990,109,109,1,TRUE,NA
BM,iceoff,1991-04-22,1991,112,112,1,TRUE,NA
BM,iceoff,1992-05-01,1992,122,122,1,TRUE,NA
BM,iceoff,1993-05-02,1993,122,122,1,TRUE,NA
BM,iceoff,1994-04-21,1994,111,111,1,TRUE,NA
BM,iceoff,1995-04-24,1995,114,114,1,TRUE,NA
BM,iceoff,1996-05-13,1996,134,134,1,TRUE,NA
BM,iceoff,1997-04-29,1997,119,119,1,TRUE,NA
BM,iceoff,1998-04-09,1998,99,99,1,TRUE,NA
BM,iceoff,1999-04-16,1999,106,106,1,TRUE,NA
BM,iceoff,2000-04-03,2000,94,94,1,TRUE,NA
BM,iceoff,2001-04-23,2001,113,113,1,TRUE,NA
BM,iceoff,2002-04-19,2002,109,109,1,TRUE,NA
BM,iceoff,2003-04-26,2003,116,116,1,TRUE,NA
BM,iceoff,2004-04-22,2004,113,113,1,TRUE,NA
BM,iceoff,2005-04-16,2005,106,106,1,TRUE,NA
BM,iceoff,2006-04-16,2006,106,106,1,TRUE,NA
BM,iceoff,2007-04-20,2007,110,110,1,TRUE,NA
BM,iceoff,2008-05-02,2008,123,123,1,TRUE,NA
BM,iceoff,2009-04-20,2009,110,110,1,TRUE,NA
BM,iceoff,2010-03-31,2010,90,90,1,TRUE,NA
BM,iceoff,2011-04-28,2011,118,118,1,TRUE,NA
BM,iceoff,2012-03-20,2012,80,80,1,TRUE,NA
BM,iceoff,2013-05-10,2013,130,130,1,TRUE,NA
BM,iceoff,2014-05-09,2014,129,129,1,TRUE,NA
BM,iceoff,2015-04-15,2015,105,105,1,TRUE,NA
BM,iceoff,2016-04-19,2016,110,110,1,TRUE,NA
BM,iceoff,2017-04-09,2017,99,99,1,TRUE,NA
BM,iceoff,2018-05-07,2018,127,127,1,TRUE,NA
BM,iceoff,2019-04-29,2019,119,119,1,TRUE,NA
BM,iceoff,2020-04-28,2020,119,119,1,TRUE,NA
CB,iceoff,1982-04-30,1982,120,120,1,TRUE,NA
CB,iceoff,1983-04-27,1983,117,117,1,TRUE,NA
CB,iceoff,1984-04-16,1984,107,107,1,TRUE,NA
CB,iceoff,1985-04-23,1985,113,113,1,TRUE,NA
CB,iceoff,1986-04-12,1986,102,102,1,TRUE,NA
CB,iceoff,1987-04-10,1987,100,100,1,TRUE,NA
CB,iceoff,1988-04-11,1988,102,102,1,TRUE,NA
CB,iceoff,1989-04-24,1989,114,114,1,TRUE,NA
