lakeid,metric,sampledate,year,daynum,dayWeibull,weibull.r2
CB,iceoff,1983-04-27,1983,117,NA,NA
CB,iceoff,1984-04-16,1984,107,NA,NA
CB,iceoff,1985-04-23,1985,113,NA,NA
CB,iceoff,1986-04-12,1986,102,NA,NA
CB,iceoff,1987-04-10,1987,100,NA,NA
CB,iceoff,1988-04-11,1988,102,NA,NA
CB,iceoff,1989-04-24,1989,114,NA,NA
CB,iceoff,1990-04-16,1990,106,NA,NA
CB,iceoff,1991-04-15,1991,105,NA,NA
CB,iceoff,1992-04-27,1992,118,NA,NA
CB,iceoff,1993-04-28,1993,118,NA,NA
CB,iceoff,1994-04-18,1994,108,NA,NA
CB,iceoff,1995-04-17,1995,107,NA,NA
CB,iceoff,1996-05-06,1996,127,NA,NA
CB,iceoff,1997-04-26,1997,116,NA,NA
CB,iceoff,1998-04-07,1998,97,NA,NA
CB,iceoff,1999-04-12,1999,102,NA,NA
CB,iceoff,2000-03-26,2000,86,NA,NA
CB,iceoff,2001-04-20,2001,110,NA,NA
CB,iceoff,2002-04-19,2002,109,NA,NA
CB,iceoff,2003-04-16,2003,106,NA,NA
CB,iceoff,2004-04-19,2004,110,NA,NA
CB,iceoff,2005-04-12,2005,102,NA,NA
CB,iceoff,2006-04-12,2006,102,NA,NA
CB,iceoff,2007-04-12,2007,102,NA,NA
CB,iceoff,2008-04-25,2008,116,NA,NA
CB,iceoff,2009-04-20,2009,110,NA,NA
CB,iceoff,2010-03-29,2010,88,NA,NA
CB,iceoff,2011-04-25,2011,115,NA,NA
CB,iceoff,2012-03-20,2012,80,NA,NA
CB,iceoff,2013-05-07,2013,127,NA,NA
CB,iceoff,2014-05-06,2014,126,NA,NA
CB,iceoff,2015-04-13,2015,103,NA,NA
CB,iceoff,2016-04-15,2016,106,NA,NA
CB,iceoff,2017-04-09,2017,99,NA,NA
CB,iceoff,2018-05-04,2018,124,NA,NA
CB,iceoff,2019-04-25,2019,115,NA,NA
CB,iceoff,2020-04-24,2020,115,NA,NA
CR,iceoff,1982-05-03,1982,123,NA,NA
CR,iceoff,1983-04-29,1983,119,NA,NA
CR,iceoff,1984-04-20,1984,111,NA,NA
CR,iceoff,1985-04-23,1985,113,NA,NA
CR,iceoff,1986-04-13,1986,103,NA,NA
CR,iceoff,1987-04-09,1987,99,NA,NA
CR,iceoff,1988-04-15,1988,106,NA,NA
CR,iceoff,1989-04-27,1989,117,NA,NA
CR,iceoff,1990-04-16,1990,106,NA,NA
CR,iceoff,1991-04-18,1991,108,NA,NA
CR,iceoff,1992-04-30,1992,121,NA,NA
